4.8566 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
140.9466 	EXP 	window1: recordFrameIntervals = False
140.9475 	DATA 	Keypress: left
140.9503 	EXP 	fixation: autoDraw = False
140.9503 	EXP 	grating: autoDraw = False
140.9505 	EXP 	window1: recordFrameIntervals = False
141.9386 	EXP 	fixation: autoDraw = True
142.9474 	EXP 	fixation: autoDraw = False
142.9474 	EXP 	grating: autoDraw = True
142.9474 	EXP 	grating: tex = 'sin'
143.2471 	EXP 	grating: autoDraw = False
143.3008 	EXP 	window1: recordFrameIntervals = False
143.3034 	DATA 	Keypress: left
143.3137 	EXP 	fixation: autoDraw = False
143.3137 	EXP 	grating: autoDraw = False
143.3141 	EXP 	window1: recordFrameIntervals = False
144.2941 	EXP 	fixation: autoDraw = True
145.2970 	EXP 	fixation: autoDraw = False
145.3137 	EXP 	grating: autoDraw = True
145.3137 	EXP 	grating: tex = 'sin'
145.6134 	EXP 	grating: autoDraw = False
145.6843 	DATA 	Keypress: left
145.7009 	EXP 	window1: recordFrameIntervals = False
145.7134 	EXP 	fixation: autoDraw = False
145.7134 	EXP 	grating: autoDraw = False
145.7138 	EXP 	window1: recordFrameIntervals = False
146.6936 	EXP 	fixation: autoDraw = True
147.6967 	EXP 	fixation: autoDraw = False
147.7135 	EXP 	grating: autoDraw = True
147.7135 	EXP 	grating: tex = 'sin'
148.0132 	EXP 	grating: autoDraw = False
148.1174 	EXP 	window1: recordFrameIntervals = False
148.1193 	DATA 	Keypress: left
148.1300 	EXP 	fixation: autoDraw = False
148.1300 	EXP 	grating: autoDraw = False
148.1303 	EXP 	window1: recordFrameIntervals = False
149.1119 	EXP 	fixation: autoDraw = True
150.1128 	EXP 	fixation: autoDraw = False
150.1297 	EXP 	grating: autoDraw = True
150.1297 	EXP 	grating: tex = 'sin'
150.4295 	EXP 	grating: autoDraw = False
150.5835 	EXP 	window1: recordFrameIntervals = False
150.5857 	DATA 	Keypress: right
150.5961 	EXP 	fixation: autoDraw = False
150.5961 	EXP 	grating: autoDraw = False
150.5966 	EXP 	window1: recordFrameIntervals = False
